ID,Query,引擎,相关性,时效,可用,备注
L04,"最近有什么好看的电影推荐",Bocha,1,1,0,""
L04,"最近有什么好看的电影推荐",AnySearch,1,1,1,""
L04,"最近有什么好看的电影推荐",Tavily,3,1,0,""
L05,"个人所得税 专项附加扣除 怎么申报",Bocha,3,3,3,""
L05,"个人所得税 专项附加扣除 怎么申报",AnySearch,3,2,2,""
L05,"个人所得税 专项附加扣除 怎么申报",Tavily,0,2,2,""
S01,"劳动合同到期不续签 经济补偿金 标准",Bocha,2,2,2,""
S01,"劳动合同到期不续签 经济补偿金 标准",AnySearch,2,2,2,""
S01,"劳动合同到期不续签 经济补偿金 标准",Tavily,3,2,2,""
S02,"高血压 用药注意事项 禁忌",Bocha,2,3,3,""
S02,"高血压 用药注意事项 禁忌",AnySearch,3,3,3,""
S02,"高血压 用药注意事项 禁忌",Tavily,0,0,0,""
S03,"基金定投 和 一次性买入 哪个收益好",Bocha,3,2,2,""
S03,"基金定投 和 一次性买入 哪个收益好",AnySearch,3,2,2,""
S03,"基金定投 和 一次性买入 哪个收益好",Tavily,3,2,2,""
X01,"Protel 怎么画四层板",Bocha,2,3,2,""
X01,"Protel 怎么画四层板",AnySearch,3,2,3,""
X01,"Protel 怎么画四层板",Tavily,3,2,3,""
X02,"51单片机 和 STM32 区别",Bocha,2,3,3,""
X02,"51单片机 和 STM32 区别",AnySearch,2,1,1,""
X02,"51单片机 和 STM32 区别",Tavily,3,1,1,""
X03,"嘉立创EDA 怎么导出Gerber",Bocha,3,2,2,""
X03,"嘉立创EDA 怎么导出Gerber",AnySearch,1,3,3,""
X03,"嘉立创EDA 怎么导出Gerber",Tavily,3,3,3,""
